RNG	91	1000	16264.5	50
GG	92	1000	11581.0	50
RNG	92	1000	14509.0	50
GG	93	1000	17475.0	50
RNG	93	1000	23887.5	50
GG	94	1000	14462.5	50
RNG	94	1000	17972.5	50
GG	95	1000	12498.0	50
RNG	95	1000	17478.0	50
GG	96	1000	14304.5	50
RNG	96	1000	0.0	50
GG	97	1000	12398.5	50
RNG	97	1000	17369.0	50
GG	98	1000	14623.0	50
RNG	98	1000	17947.0	50
GG	99	1000	13608.0	50
RNG	99	1000	16325.5	50
GG	100	1000	14315.5	50
RNG	100	1000	17331.5	50
GG	1	1000	15003.5	55
RNG	1	1000	20113.5	55
GG	2	1000	18383.5	55
RNG	2	1000	22013.5	55
GG	3	1000	17749.5	55
RNG	3	1000	26029.0	55
GG	4	1000	17072.0	55
RNG	4	1000	20373.0	55
GG	5	1000	17054.5	55
RNG	5	1000	20765.5	55
GG	6	1000	17630.0	55
RNG	6	1000	0.0	55
GG	7	1000	15417.0	55
RNG	7	1000	21363.0	55
GG	8	1000	16552.5	55
RNG	8	1000	20527.5	55
GG	9	1000	16450.5	55
RNG	9	1000	19616.0	55
GG	10	1000	15128.0	55
RNG	10	1000	19006.5	55
GG	11	1000	18360.5	55
RNG	11	1000	0.0	55
GG	12	1000	17197.5	55
RNG	12	1000	23290.5	55
GG	13	1000	13080.0	55
RNG	13	1000	18445.5	55
GG	14	1000	13058.0	55
RNG	14	1000	0.0	55
GG	15	1000	14763.5	55
RNG	15	1000	20785.5	55
GG	16	1000	16603.5	55
RNG	16	1000	23945.5	55
GG	17	1000	16094.5	55
RNG	17	1000	0.0	55
GG	18	1000	15628.5	55
RNG	18	1000	20282.5	55
GG	19	1000	15574.0	55
RNG	19	1000	19939.0	55
GG	20	1000	14575.0	55
RNG	20	1000	20815.5	55
GG	21	1000	15570.0	55
RNG	21	1000	17370.5	55
GG	22	1000	18049.5	55
RNG	22	1000	18242.5	55
GG	23	1000	14191.0	55
RNG	23	1000	21713.0	55
GG	24	1000	17254.0	55
RNG	24	1000	18764.0	55
GG	25	1000	17505.5	55
RNG	25	1000	21690.0	55
GG	26	1000	15369.0	55
RNG	26	1000	17689.0	55
GG	27	1000	16801.5	55
RNG	27	1000	21433.5	55
GG	28	1000	16999.5	55
RNG	28	1000	21624.5	55
GG	29	1000	16457.5	55
RNG	29	1000	21203.0	55
GG	30	1000	14279.5	55
RNG	30	1000	27591.5	55
GG	31	1000	14524.5	55
RNG	31	1000	17811.0	55
GG	32	1000	15827.0	55
RNG	32	1000	655.0	55
GG	33	1000	13914.0	55
RNG	33	1000	17350.5	55
GG	34	1000	19231.5	55
RNG	34	1000	24771.5	55
GG	35	1000	18066.0	55
RNG	35	1000	23593.5	55
GG	36	1000	13473.5	55
RNG	36	1000	19963.5	55
GG	37	1000	20576.5	55
RNG	37	1000	21420.5	55
GG	38	1000	18271.5	55
RNG	38	1000	22841.0	55
GG	39	1000	17879.5	55
RNG	39	1000	21096.0	55
GG	40	1000	14048.0	55
RNG	40	1000	14722.0	55
GG	41	1000	16433.0	55
RNG	41	1000	19323.0	55
GG	42	1000	15612.0	55
RNG	42	1000	19439.0	55
GG	43	1000	17170.0	55
RNG	43	1000	23013.0	55
GG	44	1000	14319.5	55
RNG	44	1000	15502.0	55
GG	45	1000	17674.0	55
RNG	45	1000	17955.5	55
GG	46	1000	16191.5	55
RNG	46	1000	0.0	55
GG	47	1000	16150.5	55
RNG	47	1000	19817.5	55
GG	48	1000	15260.5	55
RNG	48	1000	16571.5	55
GG	49	1000	17297.5	55
RNG	49	1000	20181.5	55
GG	50	1000	15629.5	55
RNG	50	1000	19721.0	55
GG	51	1000	15607.0	55
RNG	51	1000	16967.5	55
GG	52	1000	16726.5	55
RNG	52	1000	19121.0	55
GG	53	1000	16667.0	55
RNG	53	1000	19279.5	55
GG	54	1000	15591.0	55
RNG	54	1000	17534.0	55
GG	55	1000	15759.0	55
RNG	55	1000	18749.5	55
GG	56	1000	14740.0	55
RNG	56	1000	18265.0	55
GG	57	1000	13506.0	55
RNG	57	1000	18598.0	55
GG	58	1000	16595.5	55
RNG	58	1000	19762.0	55
GG	59	1000	14353.0	55
RNG	59	1000	18453.5	55
GG	60	1000	16162.0	55
RNG	60	1000	19905.0	55
GG	61	1000	14304.0	55
RNG	61	1000	17519.5	55
GG	62	1000	15270.0	55
RNG	62	1000	20149.5	55
GG	63	1000	15735.0	55
RNG	63	1000	18507.0	55
GG	64	1000	14765.5	55
RNG	64	1000	17730.0	55
GG	65	1000	16559.5	55
RNG	65	1000	16876.5	55
GG	66	1000	13921.5	55
RNG	66	1000	18325.5	55
GG	67	1000	13120.5	55
RNG	67	1000	15735.5	55
GG	68	1000	16053.0	55
RNG	68	1000	22840.5	55
GG	69	1000	18350.5	55
RNG	69	1000	23313.5	55
GG	70	1000	15942.0	55
RNG	70	1000	18467.5	55
GG	71	1000	16251.5	55
RNG	71	1000	20703.5	55
GG	72	1000	19059.0	55
RNG	72	1000	21411.0	55
GG	73	1000	15996.5	55
RNG	73	1000	19470.5	55
GG	74	1000	17451.5	55
RNG	74	1000	22586.0	55
GG	75	1000	15702.5	55
RNG	75	1000	0.0	55
GG	76	1000	17005.0	55
RNG	76	1000	19747.0	55
GG	77	1000	15674.5	55
RNG	77	1000	17367.5	55
GG	78	1000	16101.5	55
RNG	78	1000	19801.5	55
GG	79	1000	13309.0	55
RNG	79	1000	16837.5	55
GG	80	1000	15100.0	55
RNG	80	1000	25562.0	55
GG	81	1000	17410.5	55
RNG	81	1000	21810.0	55
GG	82	1000	14903.5	55
RNG	82	1000	18282.0	55
GG	83	1000	13821.5	55
RNG	83	1000	0.0	55
GG	84	1000	13483.0	55
RNG	84	1000	15635.5	55
GG	85	1000	15771.0	55
RNG	85	1000	18466.0	55
GG	86	1000	15215.0	55
RNG	86	1000	16084.0	55
GG	87	1000	22042.5	55
RNG	87	1000	0.0	55
GG	88	1000	18466.0	55
RNG	88	1000	24057.0	55
GG	89	1000	16755.0	55
RNG	89	1000	21719.5	55
GG	90	1000	16698.0	55
RNG	90	1000	17375.5	55
GG	91	1000	17099.5	55
RNG	91	1000	20507.5	55
GG	92	1000	14121.5	55
